Stop ID #,Stop Abbreviation,Stop Location,Out/In,,Lat,Long,Shelter? Y/N,Type LNI/Wood,Small sign (ID),CHK Panel,MTD sign,# of Benches,Bench Type,Trashcan,# of cans,Trashcan Type,ADA,Notes,Pole,Link
1,ModoPorO,Modoc & Portesuello,Outbound,,34.424858,-119.72607,Yes,LNI,Yes,Yes,Yes,2,Green Wabash,,,Green Wabash,Yes,,LNI Shelter,"https://www.google.com/maps/place/Modoc+%26+Portesuello/@34.4248018,-119.7260177,3a,75y,347.16h,88.43t/data=!3m7!1e1!3m5!1sxsmcJALLIHVz1V0pAorRuA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DxsmcJALLIHVz1V0pAorRuA%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D318.6001%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m7!3m6!1s0x80e914f1436cfb03:0xb389a8fec0780265!8m2!3d34.424858!4d-119.72607!10e5!16s%2Fg%2F1tm12xsg?entry=ttu"
2,SaAnValN,San Andres & Valerio,Inbound,,34.420714,-119.71894,Yes,LNI,Yes,No,Yes,2,Green Wabash,,,Green Wabash,Yes,,Street lamp,"https://www.google.com/maps/place/San+Andres+%26+Valerio/@34.4208265,-119.7189687,3a,75y,178.16h,90.93t/data=!3m7!1e1!3m5!1sMef_lJx00zr_y5sczg4u8A!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DMef_lJx00zr_y5sczg4u8A%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D164.24359%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m15!1m7!3m6!1s0x80e9146002b96403:0xaedad9c225a8fea8!2sSan+Andres+%26+Valerio!8m2!3d34.420666!4d-119.7187745!16s%2Fg%2F11c6_sr695!3m6!1s0x80e9148aa9da827f:0x1501d5c0c6318e!8m2!3d34.420714!4d-119.71894!10e5!16s%2Fg%2F11dxkdc9qj?entry=ttu"
3,CarrSaPN,Carrillo & San Pascual,Inbound,,34.415231,-119.708745,Yes,Wood,Yes,Yes (2),Yes,1,Wooden,,1,Shopping Center (Brown),Yes,,Wooden Shelter,"https://www.google.com/maps/place/Carrillo+%26+San+Pascual/@34.4152799,-119.7088959,3a,22.3y,138.19h,87.54t/data=!3m6!1e1!3m4!1sxowrWZJMJYnnwEWDjCbRfQ!2e0!7i16384!8i8192!4m7!3m6!1s0x80e914652482c0e1:0x3a8a56bb85074d55!8m2!3d34.415231!4d-119.708745!10e5!16s%2Fg%2F1tdc0yx_?entry=ttu"
4,TC,Transit Center,n/a,,34.420949,-119.7036,Yes (3),LNI,,Yes (1),Yes (4),6,Green Wabash,,5,Green Wabash,Yes,3 single benches/3 double,Galvinized Pole - Silver,"https://www.google.com/maps/place/MTD+Transit+Center/@34.4209065,-119.7036688,3a,75y,47.66h,92.49t/data=!3m7!1e1!3m5!1sPyb1U9nSw__zfbe7Nkdk0g!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DPyb1U9nSw__zfbe7Nkdk0g%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D45.40067%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m16!1m8!3m7!1s0x80e914652482c0e1:0x3a8a56bb85074d55!2sCarrillo+%26+San+Pascual!8m2!3d34.415231!4d-119.708745!10e5!16s%2Fg%2F1tdc0yx_!3m6!1s0x80e9147c4007cf49:0x704573755e19f998!8m2!3d34.4210311!4d-119.7035168!10e5!16s%2Fg%2F1vgw8yby?entry=ttu"
7,MontMilN,Montecito & Milpas,Inbound,,34.424932,-119.6822,Yes,LNI,Yes,No,Yes,2,Green Wabash,,,Mixed,Yes,City and Wabash,LNI Shelter,"https://www.google.com/maps/place/Montecito+%26+Milpas/@34.4249531,-119.6822375,3a,75y,162.69h,79.35t/data=!3m6!1e1!3m4!1svLSW8R4JwbV5JzUmNujcwg!2e0!7i16384!8i8192!4m11!1m2!2m1!1sMontecito+%26+Milpas!3m7!1s0x80e9139b7bb6ada1:0x8e3bf1d579431854!8m2!3d34.424932!4d-119.6822!10e5!15sChJNb250ZWNpdG8gJiBNaWxwYXOSAQhidXNfc3RvcOABAA!16s%2Fg%2F1tmkl8nt?entry=ttu"
8,SaliMonN,Salinas & Montecito,Inbound,,34.428849,-119.67659,No,,Yes,No,Yes,1,Wooden,,,Concrete,Yes,,Galvinized Pole - Silver,"https://www.google.com/maps/place/Salinas+%26+Montecito/@34.4289482,-119.6766808,3a,35.8y,150.94h,85.88t/data=!3m7!1e1!3m5!1s4lFPiCanhWCpCZpTaPK8Uw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3D4lFPiCanhWCpCZpTaPK8Uw%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D135.88567%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m7!3m6!1s0x80e9139ef0d3d91f:0x92d643238130210e!8m2!3d34.428849!4d-119.67659!10e5!16s%2Fg%2F1tph210h?entry=ttu"
9,PuGoSalO,Punta Gorda & Salinas,Outbound,,34.422963,-119.668508,Yes,LNI,Yes,Yes,Yes,1,Green Wabash,,,Green Wabash,Yes,,Galvinized Pole - Silver,"https://www.google.com/maps/place/Punta+Gorda+%26+Salinas/@34.422981,-119.6684149,3a,75y,268.91h,74.56t/data=!3m7!1e1!3m5!1s9I-lgZvA782Ezbd3VIp2Dw!2e0!5s20190301T000000!7i16384!8i8192!4m7!3m6!1s0x80e913bcbe901995:0x190d934f66e8084d!8m2!3d34.422963!4d-119.668508!10e5!16s%2Fg%2F1vcjmkhg?entry=ttu"
10,MilpMonO,Milpas & Montecito,Outbound,,34.424216,-119.68226,Yes,LNI,Yes,Yes,Yes,2,Green Wabash,,,Green Wabash,Yes,,Green - Finial,"https://www.google.com/maps/place/Milpas+%26+Montecito/@34.424091,-119.6823895,3a,46.6y,48.54h,89.43t/data=!3m7!1e1!3m5!1sh1cULSo5zzPg52-FgdC11A!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3Dh1cULSo5zzPg52-FgdC11A%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D40.205116%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m11!1m2!2m1!1sMilpas+%26+Montecito!3m7!1s0x80e9139b73114c81:0xd25fbc16ac40838e!8m2!3d34.424216!4d-119.68226!10e5!15sChJNaWxwYXMgJiBNb250ZWNpdG-SAQhidXNfc3RvcOABAA!16s%2Fg%2F11b6yjtsxs?entry=ttu"
12,SaAnValO,San Andres & Valerio,Outbound,,34.420618,-119.718609,No,,Yes,No,Yes,1,Green Wabash,,,City Can (Dome),Yes,,Street lamp,"https://www.google.com/maps/place/San+Andres+%26+Valerio/@34.4205861,-119.7186706,3a,75y,69.3h,87.75t/data=!3m7!1e1!3m5!1sciwgEzjaT4EB-puI9fNM6g!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DciwgEzjaT4EB-puI9fNM6g%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D59.58985%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m15!1m7!3m6!1s0x80e9146002b96403:0xaedad9c225a8fea8!2sSan+Andres+%26+Valerio!8m2!3d34.420666!4d-119.7187745!16s%2Fg%2F11c6_sr695!3m6!1s0x80e9146002af86c9:0xd1356cbbaa0b8bec!8m2!3d34.420618!4d-119.718609!10e5!16s%2Fg%2F1tj96qyk?entry=ttu"
14,TreaSamO,Treasure & Samarkand,Outbound,,34.430419,-119.7312,Yes,Wood,Yes,Yes,Yes,1,Wooden,,,Green Wabash,Yes,,Wooden Shelter,"https://www.google.com/maps/place/Treasure+%26+Samarkand/@34.4304044,-119.7312402,3a,75y,64.73h,75.36t/data=!3m7!1e1!3m5!1suqYjbYFUIjCOqOczBp_ewA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DuqYjbYFUIjCOqOczBp_ewA%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D59.141804%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m7!3m6!1s0x80e914ef7f082ddb:0x562828cf5861d169!8m2!3d34.430419!4d-119.7312!10e5!16s%2Fg%2F1tknkrr4?entry=ttu"
15,StatSaRO,State & San Roque,Outbound,,34.440496,-119.734617,No,,Yes,Yes,Yes,1,Green Wabash,,1,City Can (Dome),Yes,,Green - Finial,"https://www.google.com/maps/place/State+%26+San+Roque/@34.4404575,-119.7346957,3a,75y,51.65h,82.86t/data=!3m7!1e1!3m5!1s6LUwIAg6Tfr8aLK0DPqn8A!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3D6LUwIAg6Tfr8aLK0DPqn8A%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D50.432377%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m11!1m2!2m1!1sState+%26+San+Roque!3m7!1s0x80e914dc5da4bdbf:0x2876d0b454ec9c69!8m2!3d34.440496!4d-119.734617!10e5!15sChFTdGF0ZSAmIFNhbiBSb3F1ZZIBCGJ1c19zdG9w4AEA!16s%2Fg%2F1tf5f18c?entry=ttu"
16,StatLaCO,State & La Cumbre,Outbound,,34.440577,-119.7515,No,,Yes,Yes,Yes,,Green Wabash,,2,Green Wabash,Yes,,Green - Finial,"https://www.google.com/maps/place/State+%26+La+Cumbre/@34.4405425,-119.7515779,3a,75y,303.86h,85.42t/data=!3m7!1e1!3m5!1sxQvt5EZ2J-8qO4_eo0CIJw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DxQvt5EZ2J-8qO4_eo0CIJw%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D37.387005%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m15!1m7!3m6!1s0x80e91525aeebf3e1:0x41558add5a7c502b!2sState+%26+La+Cumbre!8m2!3d34.440346!4d-119.750451!16s%2Fg%2F11h0fv6h7!3m6!1s0x80e9152508fb7209:0x8eb92aa983137c9d!8m2!3d34.440577!4d-119.7515!10e5!16s%2Fg%2F1tl8l071?entry=ttu"
17,StatBroO,State & Broadmoor,Outbound,,34.440493,-119.7373,No,,Yes,Yes,Yes,1,Green Wabash,,1,Green Wabash,Yes,,Green - Finial,"https://www.google.com/maps/place/State+%26+Broadmoor/@34.4404426,-119.7370685,3a,36.9y,309.09h,87.54t/data=!3m6!1e1!3m4!1sY-37n_pvGrAsX6ZzTVP--A!2e0!7i16384!8i8192!4m15!1m7!3m6!1s0x80e914dea5ee161f:0x5f63765d7850bd5c!2sState+%26+Broadmoor!8m2!3d34.4404125!4d-119.737237!16s%2Fg%2F11c6_sknvq!3m6!1s0x80e914deaf6e6085:0xed4398d14e4453c7!8m2!3d34.440493!4d-119.7373!10e5!16s%2Fg%2F11dxkl0g5d?entry=ttu"
19,HillHous,Hillside House,n/a,,34.419075,-119.743269,,,,,,,,,,,Yes,No view of Hillside house on Maps,,
20,ArBuBePa,Arroyo Burro Beach Park,n/a,,34.404222,-119.742969,No,,Yes,Yes,Yes,2,Wooden,,,,Yes,,Galvinized Pole - Silver,"https://www.google.com/maps/place/Arroyo+Burro+Beach+Park/@34.4042589,-119.7429452,3a,75y,241.42h,91.54t/data=!3m7!1e1!3m5!1s_01bDNEBHsmY4umTQU9xEw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3D_01bDNEBHsmY4umTQU9xEw%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D209.94261%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m15!1m7!3m6!1s0x80e9144cf7029b6d:0xed00476d4a40d68e!2sArroyo+Burro+Beach+County+Park!8m2!3d34.4028444!4d-119.7432062!16s%2Fm%2F026ykbm!3m6!1s0x80e915b2a7880c7b:0xeb6bc7508a291a27!8m2!3d34.404222!4d-119.742969!10e5!16s%2Fg%2F1tcwx0r3?entry=ttu"
21,ClifMeiN,Cliff & Meigs,Inbound,,34.401329,-119.721618,Yes,Concrete,Yes,yes,Yes,2,Wooden,,1,City Can (Dome),Yes,,Galvinized Pole - Silver,"https://www.google.com/maps/place/Cliff+%26+Meigs/@34.4015108,-119.7215832,3a,19.3y,185.84h,89.43t/data=!3m6!1e1!3m4!1sJuaOA5nLCPNgBWtyECENNA!2e0!7i16384!8i8192!4m15!1m7!3m6!1s0x80e9144057029d63:0x2dfede17cd932eb3!2sCliff+%26+Meigs!8m2!3d34.4016645!4d-119.7221155!16s%2Fg%2F11c534h62b!3m6!1s0x80e914405a6cf61f:0x2735484ce09a92a9!8m2!3d34.401329!4d-119.721618!10e5!16s%2Fg%2F1tj73xnv?entry=ttu"
22,SBCCO,SBCC (McKinley School),Outbound,,34.406762,-119.701296,No,,Yes,Yes,Yes,1,Wooden,,1,City Can (Dome),Yes,,Galvinized Pole - Green,"https://www.google.com/maps/place/SBCC/@34.4066553,-119.7011113,3a,16.2y,314.74h,88.38t/data=!3m7!1e1!3m5!1sDdyRuDN0uYh5ApIGaWzu7A!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DDdyRuDN0uYh5ApIGaWzu7A%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D295.493%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m15!1m7!3m6!1s0x80e914747c3a9d3f:0xc37b051b0dac0ae7!2sMcKinley+Elementary+School!8m2!3d34.4076376!4d-119.7019631!16s%2Fm%2F076lzgt!3m6!1s0x80e9147499db0fcd:0x286a1e63b4e55d74!8m2!3d34.406762!4d-119.701296!10e5!16s%2Fg%2F1tptqxyw?entry=ttu"
23,SBCCN,SBCC (Main Campus),Inbound,,34.406724,-119.700626,Yes,Wood,Yes,Yes,Yes,8,Wooden,,1,City Can (Dome),Yes,,Wooden Shelter,"https://www.google.com/maps/place/SBCC/@34.4067578,-119.7008539,3a,75y,137.65h,84.94t/data=!3m6!1e1!3m4!1sC0yAkSrayes0NUiu1zWSPw!2e0!7i16384!8i8192!4m15!1m7!3m6!1s0x80e914747c3a9d3f:0xc37b051b0dac0ae7!2sMcKinley+Elementary+School!8m2!3d34.4076376!4d-119.7019631!16s%2Fm%2F076lzgt!3m6!1s0x80e9147499db0fcd:0x286a1e63b4e55d74!8m2!3d34.406762!4d-119.701296!10e5!16s%2Fg%2F1tptqxyw?entry=ttu"
24,HollTurN,Hollister & Turnpike,Inbound,,34.436539,-119.78893,Yes,Wood,Yes,Yes,Yes,2,Wooden,,2,Concrete,Yes,,Wooden Shelter,"https://www.google.com/maps/place/Hollister+%26+Turnpike/@34.436576,-119.7890093,3a,75y,175.37h,77.7t/data=!3m7!1e1!3m5!1surZYk4mfWJ3TFoTai1SZgg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DurZYk4mfWJ3TFoTai1SZgg%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D170.97418%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m7!3m6!1s0x80e93ffdf62028df:0x774348b8ac1adf7c!8m2!3d34.4365274!4d-119.7890002!10e5!16s%2Fg%2F11b6y8kg0b?entry=ttu"
25,HollKelN,Hollister & Kellogg,Inbound,,34.435562,-119.8211,Yes,LNI,Yes,Yes (2),Yes,2,Green Wabash,,1,City Can (Dome),Yes,,Green - Finial,"https://www.google.com/maps/place/Hollister+at+Kellogg/@34.4356565,-119.8210572,3a,49.3y,203.73h,86.83t/data=!3m7!1e1!3m5!1sKvwh6x487jUQgDP9wdTtXQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DKvwh6x487jUQgDP9wdTtXQ%26cb_client%3Dmaps_sv.tactile.gps%26w%3D224%26h%3D298%26yaw%3D210.55174%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m17!1m7!3m6!1s0x80e94077ae0ee025:0x256c7b6f80511b6f!2sHollister+at+Kellogg!8m2!3d34.435796!4d-119.82115!16s%2Fg%2F11b6y9bdbb!3m8!1s0x80e94077b3d7718b:0xac15e7f131ccf51a!8m2!3d34.4355599!4d-119.8211145!10e5!14m1!1BCgIgARICCAI!16s%2Fg%2F11d_vwky2d?entry=ttu"
26,StorHolN,Storke & Hollister,Inbound,,34.429643,-119.86989,yes,Wood,Yes,Yes,Yes,2,Wooden,,1,Green Wabash,Yes,,Wooden Shelter,"https://www.google.com/maps/place/Storke+%26+Hollister/@34.4295363,-119.8698229,3a,75y,318.3h,90t/data=!3m7!1e1!3m5!1sbnuW7mAxDZ1yq7fSa3Vqaw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DbnuW7mAxDZ1yq7fSa3Vqaw%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D318.30347%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m11!1m2!2m1!1sStorke+%26+Hollister!3m7!1s0x80e940a56009af87:0x8e97511c4083d041!8m2!3d34.429643!4d-119.86989!10e5!15sChJTdG9ya2UgJiBIb2xsaXN0ZXKSAQhidXNfc3RvcOABAA!16s%2Fg%2F11b6ycskd7?entry=ttu"
27,SaFePlaz,Santa Felicia & The Plaza,n/a,,34.428824,-119.875646,No,,Yes,Yes,Yes,1,Green Wabash,,1,Concrete,Yes,,Galvinized Pole - Green,"https://www.google.com/maps/@34.4287376,-119.8757162,3a,75y,59.56h,78.81t/data=!3m6!1e1!3m4!1sWdqqbJs9cOk6KkpNbSPYgQ!2e0!7i16384!8i8192?entry=ttu"
28,HollStoN,Hollister & Storke,Inbound,,34.430076,-119.868335,Yes,Wood,Yes,Yes,Yes,4,Wooden,,2,Shopping Center (Brown),Yes,,Wooden Shelter,"https://www.google.com/maps/place/Hollister+%26+Storke/@34.4301207,-119.8682639,3a,49.2y,233.98h,85.62t/data=!3m7!1e1!3m5!1sAOzc_UdFIjWrJk07bMF7-Q!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DAOzc_UdFIjWrJk07bMF7-Q%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D223.4589%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m11!1m2!2m1!1sHollister+%26+Storke!3m7!1s0x80e940a53dfc942d:0x4ee660d7967f4f2b!8m2!3d34.430076!4d-119.868335!10e5!15sChJIb2xsaXN0ZXIgJiBTdG9ya2WSAQhidXNfc3RvcOABAA!16s%2Fg%2F1tdqnzbj?entry=ttu"
29,StatLaPN,State & Las Positas,Inbound,,34.44026,-119.73379,No,,Yes,Yes,Yes,1,Green Wabash,,1,Green Wabash,Yes,,Green - Finial,"https://www.google.com/maps/place/State+%26+Las+Positas/@34.4403022,-119.7338208,3a,45.5y,130.12h,86.57t/data=!3m7!1e1!3m5!1s60jKv-dSAwzXoE68qXxEtw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3D60jKv-dSAwzXoE68qXxEtw%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D156.45338%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m7!3m6!1s0x80e914dcf624807b:0x90f26e8eefed89d7!8m2!3d34.44026!4d-119.73379!10e5!16s%2Fg%2F1tfvt7vc?entry=ttu"
31,CaReTrNW,Calle Real & Turnpike West,Inbound,,34.442769,-119.791352,No,,Yes,No,Yes,0,,,0,,Yes,,Street lamp,"https://www.google.com/maps/place/Calle+Real+%26+Turnpike/@34.4428092,-119.7913957,3a,75y,109.94h,85.87t/data=!3m7!1e1!3m5!1sdrmhEQGACFUSy4t55zMiow!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DdrmhEQGACFUSy4t55zMiow%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D101.25397%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m11!1m2!2m1!1sCalle+Real+%26+Turnpike+West!3m7!1s0x80e94000669e5b15:0x380ed959063f99d1!8m2!3d34.4428057!4d-119.7913127!10e5!15sChpDYWxsZSBSZWFsICYgVHVybnBpa2UgV2VzdJIBCGJ1c19zdG9w4AEA!16s%2Fg%2F11cp5zkn8f?entry=ttu"
32,UnivPatO,University & Patterson,Outbound,,34.445418,-119.807482,No,,Yes,No,Yes,1,Wooden,,0,,Yes,,Galvinized Pole - Silver,"https://www.google.com/maps/place/University+%26+Patterson/@34.4453426,-119.8074528,3a,50y,331.19h,82.89t/data=!3m7!1e1!3m5!1slFf6mpb1bkRr7RkaDh1Bug!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DlFf6mpb1bkRr7RkaDh1Bug%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D342.73294%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m15!1m7!3m6!1s0x80e9400dcc062475:0x9d1fc0e71fbe50dc!2sUniversity+%26+Patterson!8m2!3d34.445394!4d-119.807361!16s%2Fg%2F11g6x6xmg_!3m6!1s0x80e9400dc9f6a9b3:0x13801539d2d99914!8m2!3d34.445418!4d-119.807482!10e5!16s%2Fg%2F1tdnlfdy?entry=ttu"
33,FairEncN,Fairview Ave & Encina Road,Outbound,,34.442278,-119.830788,Yes,LNI,Yes,Yes,Yes,2,Green Wabash,,1,City Can (Dome),Yes,,LNI Shelter,"https://www.google.com/maps/place/Fairview+%26+Encina/@34.4423727,-119.8305768,3a,37.3y,261.2h,90.01t/data=!3m6!1e1!3m4!1sypcshfa6Lc2JAZNJSm-H-A!2e0!7i16384!8i8192!4m16!1m8!3m7!1s0x80e940636c6d436d:0x4cb2afb805676e28!2sN+Fairview+Ave+%26+Encina+Rd,+Goleta,+CA+93117!3b1!8m2!3d34.4430417!4d-119.8306491!16s%2Fg%2F11hb2ghmts!3m6!1s0x80e9406346d2254f:0x483f439b005856db!8m2!3d34.4423323!4d-119.830812!10e5!16s%2Fg%2F11bymxvs69?entry=ttu"
35,EnciFaiO,Encina Road & Fairview Ave,Outbound,,34.443077,-119.83019,No,,Yes,No,Yes,1,Wooden,,,,Yes,,Powder Coated Pole - Green,"https://www.google.com/maps/place/Encina+%26+Fairview/@34.442987,-119.8300633,3a,40.4y,337.22h,87.7t/data=!3m6!1e1!3m4!1sL6yvFjkS4YCPs4-Xqk3EjA!2e0!7i16384!8i8192!4m16!1m8!3m7!1s0x80e940636c6d436d:0x4cb2afb805676e28!2sN+Fairview+Ave+%26+Encina+Rd,+Goleta,+CA+93117!3b1!8m2!3d34.4430417!4d-119.8306491!16s%2Fg%2F11hb2ghmts!3m6!1s0x80e940636617ac35:0x2478176cf311cd5b!8m2!3d34.443077!4d-119.83019!10e5!16s%2Fg%2F11b6ybh0xl?entry=ttu"
37,CaOaFaiO,Cathedral Oaks & Fairview,Outbound,,34.45157,-119.831161,No,,no,No,Yes,,,,0,,Yes,Stop closed - Line 10,Street lamp,"https://www.google.com/maps/place/Cathedral+Oaks+%26+Fairview/@34.4515119,-119.8311909,3a,21.2y,298.61h,86.37t/data=!3m7!1e1!3m5!1sm7t92pweFN7BgZIpukYw3A!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3Dm7t92pweFN7BgZIpukYw3A%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D21.177036%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m11!1m2!2m1!1sCathedral+Oaks+%26+Fairview!3m7!1s0x80e9405e1f937f67:0xc9292926485cf05e!8m2!3d34.45157!4d-119.831161!10e5!15sChlDYXRoZWRyYWwgT2FrcyAmIEZhaXJ2aWV3kgEIYnVzX3N0b3DgAQA!16s%2Fg%2F1tfqr7pj?entry=ttu"
38,CoOaPatN,Cathedral Oaks & Patterson,Inbound,,34.452966,-119.80729,no,,Yes,No,Yes,1,Wooden,,0,,Yes,Stop closed - Line 10,Galvinized Pole - Silver,"https://www.google.com/maps/place/Cathedral+Oaks+%26+Patterson/@34.4530447,-119.807338,3a,34.9y,163.3h,82.39t/data=!3m6!1e1!3m4!1sFMZObaGbBWUmOFjY8OiC-w!2e0!7i16384!8i8192!4m15!1m7!3m6!1s0x80e940146e5efaf5:0x6737bbd3ca8722b2!2sCathedral+Oaks+%26+Patterson!8m2!3d34.453176!4d-119.808505!16s%2Fg%2F1x5fbp49!3m6!1s0x80e940140cc8c1fb:0x69efb6669bfd1d69!8m2!3d34.453013!4d-119.8077!10e5!16s%2Fg%2F11dfwyc6w4?entry=ttu"
39,CaOaTurN,Cathedral Oaks & Turnpike,Inbound,,34.451252,-119.78979,no,,Yes,No,Yes,1,Wooden,,0,,Yes,,Galvinized Pole - Silver,"https://www.google.com/maps/place/Cathedral+Oaks+%26+Turnpike/@34.4513669,-119.7908179,3a,21.5y,316.12h,91.69t/data=!3m6!1e1!3m4!1sJpFS5nIbqndloeTVlHhZbA!2e0!7i16384!8i8192!4m11!1m2!2m1!1sCathedral+Oaks+%26+Turnpike!3m7!1s0x80e94002b8167c5d:0x58460ef6cee3c3ae!8m2!3d34.451485!4d-119.790789!10e5!15sChlDYXRoZWRyYWwgT2FrcyAmIFR1cm5waWtlkgEIYnVzX3N0b3DgAQA!16s%2Fg%2F1tdwv_pj?entry=ttu"
40,FootCieN,Foothill & Cieneguitas,Inbound,,34.451401,-119.760224,yes,LNI,yes,yes,Yes,1,Green Wabash,,1,Green Wabash,Yes,,LNI Shelter,"https://www.google.com/maps/place/Foothill+%26+Cieneguitas/@34.4514371,-119.7603176,3a,42.1y,127.49h,82.64t/data=!3m7!1e1!3m5!1sdyBpxGFFbRCq32vWTnwnbA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DdyBpxGFFbRCq32vWTnwnbA%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D137.30624%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m11!1m2!2m1!1sFoothill+%26+Cieneguitas!3m7!1s0x80e96acb5fe06aa9:0x7d88996169d54fb7!8m2!3d34.451401!4d-119.760224!10e5!15sChZGb290aGlsbCAmIENpZW5lZ3VpdGFzkgEIYnVzX3N0b3DgAQA!16s%2Fg%2F1xfsp199?entry=ttu"
