"hour_pacific","median_vehicle_message_age"
03:01:00,20
03:52:00,23
03:33:00,23
04:23:20,24
23:01:20,25
03:46:00,25.5
03:55:00,25.5
22:48:20,26
22:26:20,26
22:56:20,26
22:39:20,26.5
04:29:20,26.5
04:16:20,26.5
22:47:20,27
22:23:20,27
04:13:20,27
22:49:20,27
04:24:00,27
22:27:00,27
22:13:00,27
22:17:20,27
22:15:20,27
03:26:00,27
22:04:40,27
21:16:40,27
04:10:20,27.5
03:43:00,27.5
04:07:40,27.5
22:51:20,28
22:03:20,28
21:12:40,28
00:19:00,28
22:05:20,28
22:29:00,28
22:40:00,28
22:19:20,28
21:48:00,28
22:14:00,28
22:20:20,28
22:30:00,28
03:56:00,28
03:32:40,28
21:43:00,28
03:53:20,28
21:44:00,28
21:35:20,28
22:53:20,28
21:31:20,28
22:06:20,28
21:20:40,28
22:11:00,28
04:21:20,28
21:11:40,28
04:17:00,28
20:57:40,28
04:09:40,28.5
23:10:20,28.5
03:53:00,28.5
21:14:40,29
21:46:00,29
04:55:00,29
23:10:00,29
04:05:20,29
22:25:20,29
03:52:20,29
22:59:20,29
22:57:20,29
22:55:20,29
21:28:20,29
00:02:00,29
22:07:20,29
03:41:20,29
20:37:20,29
22:33:20,29
22:53:00,29
20:58:00,29
04:57:40,29
04:22:00,29
04:25:00,29
21:49:00,29
22:46:20,29
05:41:00,29
05:39:00,29
22:31:20,29
23:11:20,29
04:22:20,29
21:37:20,29
22:14:20,29
22:57:00,29
21:38:00,29
03:58:00,29
23:07:20,29
22:06:00,29
22:13:20,29
21:34:20,29
21:39:20,29.5
21:24:20,29.5
03:38:00,29.5
03:56:20,29.5
23:10:40,29.5
03:50:20,29.5
03:36:00,29.5
21:47:00,29.5
22:43:20,29.5
21:45:20,29.5
04:45:00,29.5
23:03:00,29.5
03:38:20,29.5
03:45:00,29.5
20:17:40,29.5
04:10:00,29.5
21:21:20,30
04:00:00,30
22:52:20,30
04:33:00,30
03:59:00,30
03:48:20,30
21:32:20,30
21:09:40,30
22:41:20,30
22:18:20,30
23:23:00,30
20:06:40,30
21:17:20,30
21:01:40,30
22:10:00,30
20:59:00,30
22:21:00,30
22:26:00,30
05:50:00,30
21:51:00,30
22:12:20,30
05:51:00,30
20:25:40,30
21:29:20,30
22:41:00,30
22:38:20,30
21:59:40,30
21:58:20,30
22:46:00,30
22:24:20,30
04:14:00,30
03:47:00,30
22:04:00,30
23:31:00,30
22:43:00,30
20:24:40,30
04:37:00,30
22:39:00,30
22:20:00,30
22:35:20,30
22:37:20,30
04:39:00,30
21:39:00,30
23:22:20,30
23:08:20,30
04:18:20,30
21:56:00,30
04:24:20,30
04:43:00,30
22:37:00,30
04:32:20,30
21:13:40,30
22:40:20,30
03:50:00,30
22:32:00,30
21:42:00,30
21:45:00,30
21:36:20,30
22:03:40,30
21:52:00,30
20:13:40,30
22:45:20,30
21:18:20,30
20:42:20,30
21:30:20,30
21:08:40,30
22:42:20,30
23:05:20,30.5
03:49:00,30.5
22:10:20,30.5
04:38:00,30.5
04:07:20,30.5
22:11:20,30.5
21:17:40,30.5
05:45:00,30.5
03:47:40,30.5
05:20:00,30.5
03:32:00,30.5
20:57:00,30.5
04:02:00,30.5
03:47:20,30.5
21:19:20,30.5
23:24:00,30.5
04:08:20,30.5
04:58:00,31
22:05:00,31
23:09:00,31
22:34:20,31
21:46:20,31
21:40:20,31
04:54:40,31
04:43:40,31
22:53:40,31
05:05:20,31
20:47:20,31
20:55:00,31
20:48:40,31
20:40:20,31
21:40:00,31
22:04:20,31
03:25:00,31
22:54:40,31
03:51:00,31
21:50:00,31
23:01:00,31
21:55:20,31
21:49:20,31
05:42:00,31
20:48:20,31
21:37:00,31
20:07:40,31
20:50:00,31
22:50:20,31
21:25:20,31
04:05:00,31
20:41:20,31
20:58:40,31
06:05:00,31
20:05:40,31
04:51:00,31
23:16:20,31
20:50:20,31
04:57:00,31
21:22:20,31
21:59:20,31
21:00:40,31
05:43:00,31
21:41:20,31
23:03:40,31
04:02:40,31
03:51:20,31
20:18:40,31
20:51:00,31
22:01:20,31
21:23:20,31
22:54:20,31
21:15:20,31
22:08:20,31
21:02:00,31
20:04:00,31
21:27:20,31
22:01:40,31
06:10:40,31
20:33:20,31
21:47:40,31
22:26:40,31
22:27:20,31
04:06:20,31
05:21:00,31
23:15:20,31
05:55:00,31
22:32:20,31
04:04:20,31
04:25:20,31
21:58:40,31
04:27:20,31
19:53:40,31
04:09:20,31
20:45:00,31
20:19:40,31
22:24:00,31
22:07:00,31
22:20:40,31
20:22:40,31
22:00:20,31.5
04:04:40,31.5
04:02:20,31.5
23:04:20,31.5
23:09:20,31.5
05:26:00,31.5
22:25:00,31.5
21:18:40,31.5
22:54:00,31.5
21:52:20,31.5
03:44:00,31.5
04:30:00,31.5
03:49:20,31.5
20:55:40,31.5
03:46:40,31.5
03:57:00,31.5
04:31:00,31.5
04:20:20,31.5
22:33:00,31.5
20:10:40,31.5
23:17:20,31.5
21:33:20,31.5
20:16:40,32
22:00:40,32
04:04:00,32
04:50:20,32
14:53:40,32
04:15:20,32
20:00:00,32
22:22:00,32
05:47:00,32
05:13:20,32
04:31:20,32
23:00:00,32
04:40:00,32
22:19:00,32
20:23:20,32
20:29:00,32
19:51:00,32
20:35:20,32
20:24:20,32
22:38:00,32
20:44:00,32
22:40:40,32
20:43:00,32
21:04:40,32
20:48:00,32
23:00:20,32
04:00:20,32
22:22:20,32
05:32:00,32
22:56:40,32
